"","Id","Comment"
"1",1,"i have disabled auto recharge but money calculate each month and i can't get rid of subscriptions for calls to ukraine and auto recharge"
"2",2,"why can't I access my account to stop you from taking my $$$$ fix it!!"
"3",3,"has been hacked my account has been sending spam to others"
"4",4,"my real account and profile are on skype fcsterapeutaortobiomolecular hotmail com stolen by the disappearance that the false account team gave in my e mail messenger fcsteterapeutaortobiomolecular hotmal com was hacheado under approval of the microsoft account team"
"5",5,"Your system does not allow a way to get refund. You explain how to get a refund, but I cannot find it on line. I cannot find help topic, select payments, or the on line request form (cancellation and refund form). I will call the credit card company, or the state attorney general for help in the matter."
"6",6,"I keep getting notified that my subscription has some issues and cannot be renewed. I am not sure why i keep getting notified. I have stopped the subscription on purpose. It would be good if these notificaiton spam stops. Not sure why would you keep sending every hour"
"7",7,"hello help please rest stop the delivery account dsulaymankulova"
"8",8,"when i log on skype in the backgroung i have listen nido add please stop the add"
"9",9,"Hi To Whom It May Concern, How do I get rid of the advertisements? Since I've updated skype, it has been irritating me so much. Can I place somewhere other than the right of my screen. I understand it's a way to keep skype free. I got it. However, I need to move it somewhere else. Help!"
"10",10,"Hi, how can we stop the adds?"
"11",11,"WHAT?? Stop putting ads everywhere!! God, I JUUUUUUUUUUUUST got used to the new layout! Oh, you go changing it again!. I know I sound like a babbling 4th grader, but, god, the messages are fucked up now. What is fja;;nv. What. Everything's been wrong since you guys took out Windows Live Messenger. If anything, the model/layout of Skype was at it's peak right when you bought it. Hmm... What's next? Pop up ads in the middle of a conversation? Right there in between our messages? My screen is small enough. I feel so cramped. At least give us the option to get rid of the big ad on the right side. :("
"12",12,"No request everytime I'm clicking on a person.But there's more advertising now, which is fine. I use skype every single day with a lot of friends but I a lot of people will switch to other programs because the performance of skype is getting worse and worse"
"13",13,"the president's choice insurance advertisement that i've seen run just now is an incredibly obtrusive advertisement that interferes with my use of the program it's a moving massive block of firetruck red that takes up at about of the screen and i can tell it's pretty much designed by some ethically challenged psychologist for maximum reaction i've seen less annoying pop up ads"
"14",14,"how do i get rid of the advertising on the side it is driving me nuts sue spss net au"
"15",15,"this new advertising is crap get rid of it i did not 'upgrade' to get bombarded with crap and it just associates them with microsoft i pay a lot of money for microsoft products and if this continues i'll take my business elsewhere"
"16",16,"get rid of the ads in my desktop skype application"
"17",17,"get rid of the advertising strip on the right hand side of my screen this is offensive"
"18",18,"those ads are way too distracting get rid of them"
"19",19,"good morning better check that advertisements submitted as banner they are often fraudulent or untrue greetings"
"20",20,"fuck you skype and microsoft stop video ads without our intention"
"21",21,"can yall plz remove the adds plz becuse they take up all the screen and moust of my friends stoped useing skype becuse of the adds and im about to stop useing it my self becuse of them"
"22",22,"please remove this annoying ad i am stuck while calling and get those ads please stop regards"
"23",23,"could you please remove someone on behalf of monique lecrest because it is a fake profile it my fact of threats thanks"
"24",24,"on skype running wobbly background sound cause interference in each direction the fault is my client i installed skype again did not help otherwise the computer record as usual correct me problem or i will stop the use of skype"
"25",25,"how to block his account skype thanks curiosity"
"26",26,"all account with names ayesha qaddafi from muscat oman is a fake skype account made to fool crime please blocked"
"27",27,"how to block calls"
"28",28,"Graccy Rose Howard has changed her name to Giddings, changed her profile photo. Best laid scam to entrap sugar daddys. Should be blocked"
"29",29,"how to block contacts"
"30",30,"me i like that people can block"
"31",31,"i stole oksen login skype and use my contacts please remove or block protect using"
"32",32,"How about the option to block messages from people not on your contacts list?"
"33",33,"i am trying to call the french train company for urgent reasons to recover a stolen item and skype says destintion has been temporarily blocked explain to me why this is happening"
"34",34,"when i phone my daughter's landline using skype it keeps ringing busy i've checked our privacy settings and hers and both are set to accept all calls"
"35",35,"after the last skype update i could not make skype to skype calls i talked to support twice and the person kept making mistakes first they thought i was making a skype to land line call when in fact i made a skype to skype call and used a land line to land line call at the same time to verify that skype was not ringing on the other end they don't listen second they said it was fixed because it would ring while connected to skype via remote assistance after the call i re booted the computer and tried to make a call and it failed the second time i called tech support they reinstalled skype but it did make a call after re booting again today after the computer sat unused for hours i tried to call the same skype person and the call fails to ring on their end they can call me without any problem do i have to get an attorney to get thru to skype that there is a problem i doubt that re installing skype again it will do any better but just fail again the next day microsoft has a long history about hiding issues and not revealing problems afer years as a professional engineer and many years of o s beta testing including the infamous denial of click mapping error it's easy to see why so many people have learned to hate microsoft i was able to verify that corrupt files found by system file checker are apparently unrelated to skype but still another example of defective software distributed by windows update fortunately there are many websites that post lists of updates that should not be installed any company that relies on unqualified but well intended forum users to provide support for their products has no credibility at all of solutions i've found don't work but problems are magically resolved months or years later by unknown windows updates nice touch with the please don't identify yourself requirement is the guilt exceeding your tolerance"
"36",36,"i sent a request and it didnt show up on the receiving end"
"37",37,"I have requested a friend to my contact list and awaiting his confirmation; but....he also sent me a request and neither one of us have received anything. Can you please help. If you need specific names, please let me know to see why we're not getting each others 'requests'."
